Date/Time,Average Real Power (W)
2021-02-15 00:05:00 -0600,0
2021-02-15 00:10:00 -0600,0
2021-02-15 00:15:00 -0600,0
2021-02-15 00:20:00 -0600,0
2021-02-15 00:25:00 -0600,0
2021-02-15 00:30:00 -0600,0
2021-02-15 00:35:00 -0600,0
2021-02-15 00:40:00 -0600,0
2021-02-15 00:45:00 -0600,0
2021-02-15 00:50:00 -0600,0
2021-02-15 00:55:00 -0600,0
2021-02-15 01:00:00 -0600,0
2021-02-15 01:05:00 -0600,0
2021-02-15 01:10:00 -0600,0
2021-02-15 01:15:00 -0600,0
2021-02-15 01:20:00 -0600,0
2021-02-15 01:25:00 -0600,0
2021-02-15 01:30:00 -0600,0
2021-02-15 01:35:00 -0600,0
2021-02-15 01:40:00 -0600,0
2021-02-15 01:45:00 -0600,0
2021-02-15 01:50:00 -0600,0
2021-02-15 01:55:00 -0600,0
2021-02-15 02:00:00 -0600,0
2021-02-15 02:05:00 -0600,0
2021-02-15 02:10:00 -0600,0
2021-02-15 02:15:00 -0600,0
2021-02-15 02:20:00 -0600,0
2021-02-15 02:25:00 -0600,0
2021-02-15 02:30:00 -0600,0
2021-02-15 02:35:00 -0600,0
2021-02-15 02:40:00 -0600,0
2021-02-15 02:45:00 -0600,0
2021-02-15 02:50:00 -0600,0
2021-02-15 02:55:00 -0600,0
2021-02-15 03:00:00 -0600,0
2021-02-15 03:05:00 -0600,0
2021-02-15 03:10:00 -0600,0
2021-02-15 03:15:00 -0600,0
2021-02-15 03:20:00 -0600,0
2021-02-15 03:25:00 -0600,0
2021-02-15 03:30:00 -0600,0
2021-02-15 03:35:00 -0600,0
2021-02-15 03:40:00 -0600,0
2021-02-15 03:45:00 -0600,0
2021-02-15 03:50:00 -0600,0
2021-02-15 03:55:00 -0600,0
2021-02-15 04:00:00 -0600,0
2021-02-15 04:05:00 -0600,0
2021-02-15 04:10:00 -0600,0
2021-02-15 04:15:00 -0600,0
2021-02-15 04:20:00 -0600,0
2021-02-15 04:25:00 -0600,0
2021-02-15 04:30:00 -0600,0
2021-02-15 04:35:00 -0600,0
2021-02-15 04:40:00 -0600,0
2021-02-15 04:45:00 -0600,0
2021-02-15 04:50:00 -0600,0
2021-02-15 04:55:00 -0600,0
2021-02-15 05:00:00 -0600,0
2021-02-15 05:05:00 -0600,0
2021-02-15 05:10:00 -0600,0
2021-02-15 05:15:00 -0600,0
2021-02-15 05:20:00 -0600,0
2021-02-15 05:25:00 -0600,0
2021-02-15 05:30:00 -0600,0
2021-02-15 05:35:00 -0600,0
2021-02-15 05:40:00 -0600,0
2021-02-15 05:45:00 -0600,0
2021-02-15 05:50:00 -0600,0
2021-02-15 05:55:00 -0600,0
2021-02-15 06:00:00 -0600,0
2021-02-15 06:05:00 -0600,0
2021-02-15 06:10:00 -0600,0
2021-02-15 06:15:00 -0600,0
2021-02-15 06:20:00 -0600,0
2021-02-15 06:25:00 -0600,0
2021-02-15 06:30:00 -0600,0
2021-02-15 06:35:00 -0600,0
2021-02-15 06:40:00 -0600,0
2021-02-15 06:45:00 -0600,0
2021-02-15 06:50:00 -0600,0
2021-02-15 06:55:00 -0600,0
2021-02-15 07:00:00 -0600,0
2021-02-15 07:05:00 -0600,0
2021-02-15 07:10:00 -0600,0
2021-02-15 07:15:00 -0600,0
2021-02-15 07:20:00 -0600,0
2021-02-15 07:25:00 -0600,7
2021-02-15 07:30:00 -0600,29
2021-02-15 07:35:00 -0600,33
2021-02-15 07:40:00 -0600,39
2021-02-15 07:45:00 -0600,46
2021-02-15 07:50:00 -0600,46
2021-02-15 07:55:00 -0600,68
2021-02-15 08:00:00 -0600,103
2021-02-15 08:05:00 -0600,103
2021-02-15 08:10:00 -0600,139
2021-02-15 08:15:00 -0600,192
2021-02-15 08:20:00 -0600,192
2021-02-15 08:25:00 -0600,233
2021-02-15 08:30:00 -0600,303
2021-02-15 08:35:00 -0600,303
2021-02-15 08:40:00 -0600,295
2021-02-15 08:45:00 -0600,330
2021-02-15 08:50:00 -0600,330
2021-02-15 08:55:00 -0600,371
2021-02-15 09:00:00 -0600,459
2021-02-15 09:05:00 -0600,459
2021-02-15 09:10:00 -0600,511
2021-02-15 09:15:00 -0600,629
2021-02-15 09:20:00 -0600,629
2021-02-15 09:25:00 -0600,680
2021-02-15 09:30:00 -0600,852
2021-02-15 09:35:00 -0600,852
2021-02-15 09:40:00 -0600,1035
2021-02-15 09:45:00 -0600,1386
2021-02-15 09:50:00 -0600,1386
2021-02-15 09:55:00 -0600,1239
2021-02-15 10:00:00 -0600,1331
2021-02-15 10:05:00 -0600,1331
2021-02-15 10:10:00 -0600,1210
2021-02-15 10:15:00 -0600,1329
2021-02-15 10:20:00 -0600,1329
2021-02-15 10:25:00 -0600,1221
2021-02-15 10:30:00 -0600,1361
2021-02-15 10:35:00 -0600,1361
2021-02-15 10:40:00 -0600,1166
2021-02-15 10:45:00 -0600,1206
2021-02-15 10:50:00 -0600,1206
2021-02-15 10:55:00 -0600,1159
2021-02-15 11:00:00 -0600,1335
2021-02-15 11:05:00 -0600,1335
2021-02-15 11:10:00 -0600,1294
2021-02-15 11:15:00 -0600,1522
2021-02-15 11:20:00 -0600,1522
2021-02-15 11:25:00 -0600,1527
2021-02-15 11:30:00 -0600,1886
2021-02-15 11:35:00 -0600,1886
2021-02-15 11:40:00 -0600,1862
2021-02-15 11:45:00 -0600,2260
2021-02-15 11:50:00 -0600,2260
2021-02-15 11:55:00 -0600,2232
2021-02-15 12:00:00 -0600,2672
2021-02-15 12:05:00 -0600,2672
2021-02-15 12:10:00 -0600,2556
2021-02-15 12:15:00 -0600,3014
2021-02-15 12:20:00 -0600,3014
2021-02-15 12:25:00 -0600,2477
2021-02-15 12:30:00 -0600,2467
2021-02-15 12:35:00 -0600,2467
2021-02-15 12:40:00 -0600,2224
2021-02-15 12:45:00 -0600,2482
2021-02-15 12:50:00 -0600,2482
2021-02-15 12:55:00 -0600,2413
2021-02-15 13:00:00 -0600,2928
2021-02-15 13:05:00 -0600,2928
2021-02-15 13:10:00 -0600,2616
2021-02-15 13:15:00 -0600,2847
2021-02-15 13:20:00 -0600,2847
2021-02-15 13:25:00 -0600,2634
2021-02-15 13:30:00 -0600,3053
2021-02-15 13:35:00 -0600,3053
2021-02-15 13:40:00 -0600,2746
2021-02-15 13:45:00 -0600,3057
2021-02-15 13:50:00 -0600,3057
2021-02-15 13:55:00 -0600,2736
2021-02-15 14:00:00 -0600,3035
2021-02-15 14:05:00 -0600,3035
2021-02-15 14:10:00 -0600,2588
2021-02-15 14:15:00 -0600,2655
2021-02-15 14:20:00 -0600,2655
2021-02-15 14:25:00 -0600,2293
2021-02-15 14:30:00 -0600,2394
2021-02-15 14:35:00 -0600,2394
2021-02-15 14:40:00 -0600,2109
2021-02-15 14:45:00 -0600,2282
2021-02-15 14:50:00 -0600,2282
2021-02-15 14:55:00 -0600,2059
2021-02-15 15:00:00 -0600,2305
2021-02-15 15:05:00 -0600,2305
2021-02-15 15:10:00 -0600,2027
2021-02-15 15:15:00 -0600,2136
2021-02-15 15:20:00 -0600,2136
2021-02-15 15:25:00 -0600,1845
2021-02-15 15:30:00 -0600,1899
2021-02-15 15:35:00 -0600,1899
2021-02-15 15:40:00 -0600,1557
2021-02-15 15:45:00 -0600,1587
2021-02-15 15:50:00 -0600,1587
2021-02-15 15:55:00 -0600,1425
2021-02-15 16:00:00 -0600,1451
2021-02-15 16:05:00 -0600,1451
2021-02-15 16:10:00 -0600,1346
2021-02-15 16:15:00 -0600,1474
2021-02-15 16:20:00 -0600,1474
2021-02-15 16:25:00 -0600,1080
